WordHead,IPA
ଅଗ୍ରଗତି,ɔɡɾɔɡɔti
ଆମ୍ବୁଲାନ୍ସରେ,ɑmbʊlɑnsɾe
ଆସିଥିଲି,ɑsitʰili
ସାବରମତୀ,sɑbɔɾɔmɔti
ସେଣ୍ଟ୍ରାଲ,seɳʈɾɑl
ipad,ipad
କାର୍ଯ୍ୟକାଳକୁ,kɑɾ|yjɔkɑ`lɔkʊ
ଇସି,isi
ନେତୃବର୍ଗ,netɾʊbɔɾɡɔ
କଲେଜରୁ,kɔled͡ʒɾʊ
ବୈଧତା,bɔidʰɔtɑ
ସଂରକ୍ଷିତ,sɔMɾɔkkʰitɔ
ଏଗୁଡ଼ିକ,eɡʊɽikɔ
ଗାଳିଦେଲେ,ɡɑ`lidele
ବସିଥିବେ,bɔsitʰibe
ଧନି,dʰɔni
ଖିଲାଡି,kʰilɑɖi
କରୁଛ,kɔɾʊt͡ʃʰɔ
ଶାନ୍ତିନିକେତନରେ,sɑntiniketɔnɔɾe
ଖୋଲତାଡ଼,kʰolɔtɑɽɔ
ସାଇପଡ଼ିଶାର,sɑipɔɽisɑɾɔ
ମାନଚିତ୍ରରେ,mɑnɔt͡ʃitɾɔɾe
ଅନ୍‌ସାରୀଙ୍କ,ɔn‌sɑɾiŋkɔ
କସ୍ତୁରୀ,kɔstʊɾi
400,400
ଭୁଲ,bʰʊl
ସୁବୋଧ,sʊbodʰɔ
କରାଇଲା,kɔɾɑilɑ
ପାରିକରଙ୍କୁ,pɑɾikɔɾɔŋkʊ
ଜେନେରାଲ୍,d͡ʒeneɾɑl
ରିଚର,ɾit͡ʃɔɾ
ବ୍ୟାପିଯାଇଥିଲା,bjɑpi|yɑitʰilɑ
ହରିୟାଣାର,hɔɾijɑɳɑɾɔ
ଟାର୍ଗେଟ,ʈɑɾɡeʈ
କେତେଗୁଡ଼ିଏ,keteɡʊɽie
ହୃଷ୍ଟପୃଷ୍ଟ,hɾʊsʈɔpɾʊsʈɔ
ମାଗାଜିନ୍‌,mɑɡɑd͡ʒin‌
ପଠାଇଲେ,pɔʈʰɑile
ଡରିଯାନ୍ତି,ɖɔɾi|yɑnti
ଖ୍ରୀଷ୍ଟୋଫର,kʰɾisʈophɔɾ
ଗ୍ରୁପ୍‌,ɡɾʊp‌
କ୍ଷମାକର,kʰjɔmɑkɔɾɔ
ଶେଆର୍‌,seɑɾ‌
ରାଜାକୁ,ɾɑd͡ʒɑkʊ
ବେଲ୍,bel
କହିଦେବ,kɔhidebɔ
ଗର୍ଜିଉଠିଲା,ɡɔɾd͡ʒiʊʈʰilɑ
ଲାଗିଥିବାର,lɑɡitʰibɑɾɔ
ଲଫାପାଟି,lɔphɑpɑʈi
ପିଟୁଥିଲି,piʈʊtʰili
ଚାଲିଯାଇଥିଲେ,t͡ʃɑli|yɑitʰile
କଣ୍ଟା,kɔɳʈɑ
ସ୍ମୃତିସ୍ଥାନର,smɾʊtistʰɑnɔɾɔ
ଇ-କମର୍ସ,i-kɔmɔɾs
ଘାସି,ɡʰɑsi
ଯଉତୁକ,|yɔʊtʊkɔ
ସଂଗ୍ରାମରେ,sɔŋɾɑmɔɾe
ନିଜେ,nid͡ʒe
ଫରକ୍‌,phɔɾɔk‌
ଏଣ୍ଟିଲିଆରେ,eɳʈiliɑɾe
ରେଳ,ɾe`lɔ
ସିଜୁ,sid͡ʒʊ
ଶେଠ୍,seʈʰ
ତାମିଲ,tɑmil
ହୋଇପାରିବ,hoipɑɾibɔ
ଉପୟୋଗ,ʊpɔjoɡɔ
ଇକୋ:,iko:
ପରେ,pɔɾe
ଦ୍ରୁତ,dɾʊtɔ
ଅସିତ,ɔsit
ନଥାନ୍ତି,nɔtʰɑnti
ଜଗତରେ,d͡ʒɔɡɔtɔɾe
ଠାକୁରଙ୍କୁ,ʈʰɑkʊɾɔŋkʊ
ମିଳିଗଲା,mi`liɡɔlɑ
ଖାନା,kʰɑnɑ
ଆକ୍‌ବର୍,ɑk‌bɔɾ
ପ୍ରାସଙ୍ଗିକ,pɾɑsɔŋɡikɔ
ନାଲିବତୀ,nɑlibɔti
ପାଇଚି,pɑit͡ʃi
ଲମ୍ବି,lɔmbi
ଉଠାଦୋକାନୀମାନଙ୍କୁ,ʊʈʰɑdokɑnimɑnɔŋkʊ
ଏକ୍ସଟେନ୍ସନ୍,eksɔʈensɔn
ପଲଙ୍କ,pɔlɔŋkɔ
ହେଉ,heʊ
କ୍ରେଡିଟ୍,kɾeɖiʈ
ନକ୍‌ଆଉଟରେ,nɔk‌ɑʊʈɾe
ଅମଙ୍ଗଳ,ɔmɔŋɡɔ`lɔ
ମହିଳା,mɔhi`lɑ
ଆଜ୍ଞା,ɑɡjɑn~
ବୁଝାମଣାପତ୍ର,bʊd͡ʒʱɑmɔɳɑpɔtɾɔ
ଜଣାଇବାକୁ,d͡ʒɔɳɑibɑkʊ
ଆସିବାର,ɑsibɑɾɔ
ମାୟଙ୍କ,mɑjɔŋk
କଲ୍ୟାଣକାରୀ,kɔljɑɳɔkɑɾi
କରାଇଛନ୍ତି,kɔɾɑit͡ʃʰɔnti
ନୟାଏ,nɔjɑe
ଚହଲି,t͡ʃɔhɔli
ମିଳିଥଲା,mi`litʰɔlɑ
ଖାନ,kʰɑnɔ
ଆସିଯିବାରୁ,ɑsi|yibɑɾʊ
ପଳାଇଗଲେ,pɔ`lɑiɡɔle
ସିଏସ530,sies530
ଗୋଚର,ɡot͡ʃɔɾɔ
ବାଟୋଇମାନେ,bɑʈoimɑne
ଦର୍ଶକମାନଙ୍କ,dɔɾsɔkɔmɑnɔŋkɔ
ସୂଚୀରେ,sut͡ʃiɾe
ମୁଙ୍ଗେରର,mʊŋɡeɾɔɾɔ
ଇରାନରୁ,iɾɑnɾʊ
ଫୁଟେ,phʊʈe
ଛୋଟବେଳୁ,t͡ʃʰoʈɔbe`lʊ
ଜଣକଙ୍କର,d͡ʒɔɳɔkɔŋkɔɾɔ
ମରିବ,mɔɾibɔ
ରୋକିବାରେ,ɾokibɑɾe
ଘଟିଗଲା,ɡʰɔʈiɡɔlɑ
କ୍ରେତାମାନେ,kɾetɑmɑne
ପ୍ରାଣବନ୍ଧୁଙ୍କୁ,pɾɑɳɔbɔndʰʊŋkʊ
ବ୍ୟାପୁଥିବା,bjɑpʊtʰibɑ
କ୍ଷୟ,kʰjɔjɔ
ପିଇ,pii
ସିଂହଛୁଆ,siMhɔt͡ʃʰʊɑ
ହାଉସ୍‌,hɑʊs‌
ପ୍ରବର୍ତନ,pɾɔbɔɾtɔnɔ
ଏହିଠାରୁ,ehiʈʰɑɾʊ
ବ୍ୟାଟେରୀଗୁଡ଼ିକ,bjɑʈeɾiɡʊɽikɔ
ଫ୍ଲିପକାର୍ଟ,phlipkɑɾʈ
ଆଦି,ɑdi
PPରେ,PPɾe
ଲେଖି,lekʰi
ସ୍କ୍ରିନ୍‌,skɾin‌
ପଞ୍ଜାବ,pɔɲd͡ʒɑb
କମଲ,kɔmɔlɔ
ସୁଖସୁବିଧା,sʊkʰɔsʊbidʰɑ
ଥରିଉଠିଲା,tʰɔɾiʊʈʰilɑ
ଚେୟାରମ୍ୟାନ,t͡ʃejɑɾmjɑn
ଡାଳମାଙ୍କୁଡ଼ି,ɖɑ`lɔmɑŋkʊɽi
ସାର୍ବଜନୀକ,sɑɾbɔd͡ʒɔnikɔ
ପାଳିଚୁ,pɑ`lit͡ʃʊ
ଚାଲିଛୁ,t͡ʃɑlit͡ʃʰʊ
ଫଳସ୍ବରୂପ,phɔ`lɔsbɔɾupɔ
ତଫସିଲଭୁକ୍ତ,tɔphɔsilɔbʰʊktɔ
ଅଫଲାଇନ୍,ɔphɔlɑin
ସଶସ୍ତ୍ର,sɔsɔstɾɔ
ସମ୍ଭବପର,sɔmbʰɔbɔpɔɾɔ
କରୁଛି,kɔɾʊt͡ʃʰi
କ୍ରୀଡା,kɾiɖɑ
ନୂଆଁଇଦେଲା,nuɑn~idelɑ
୮୯୧,୮୯୧
ହୋଇନି,hoini
ମୁହଁହାତ,mʊhɔn~hɑtɔ
ତଳି,tɔ`li
ଇଣ୍ଡିଗୋ,iɳɖiɡo
ଅନ୍ତର,ɔntɔɾɔ
ଏକବାରେ,ekɔbɑɾe
ମଂଜୁରି,mɔMd͡ʒʊɾi
ପୁନଃଚାର୍ବଲ୍,pʊnɔht͡ʃɑɾbɔl
କରାଯିବ,kɔɾɑ|yibɔ
କ୍ଷମତାଚ୍ୟୁତ,kʰjɔmɔtɑt͡ʃjʊtɔ
ଆକ୍ସେସ୍,ɑkses
ସାଥିରେ,sɑtʰiɾe
ବୁଝିପାରୁନି,bʊd͡ʒʱipɑɾʊni
ହେଇଛି,heit͡ʃʰi
ହାତେଇଲା,hɑteilɑ
650:,650:
ଫିଲିପିନ୍ସରେ,philipinsɾe
ଭଗବାନଙ୍କୁ,bʰɔɡɔbɑnɔŋkʊ
ବିବିଆଇଏନ,bibiɑien
ଭାରତୀୟ,bʰɑɾɔtijɔ
1020ଏମ୍,1020em
ସ୍ଵାଭାବିକ,sʋɑbʰɑbikɔ
ମୁଦ୍ରାପାଣ୍ଠି,mʊdɾɑpɑɳʈʰi
ଗାନ୍ଧୀବାଦୀ,ɡɑndʰibɑdi
ୱିକେଟ୍,ʋikeʈ
ଦାଗ,dɑɡɔ
ରେଲ୍‌ୱେ,ɾel‌ʋe
ଧରିଲା,dʰɔɾilɑ
ନିରାଶ,niɾɑsɔ
ଡ୍ୟାମରେ,ɖjɑmɾe
ପଥ,pɔtʰɔ
ଉପାୟ,ʊpɑjɔ
ରମଣୀୟ,ɾɔmɔɳijɔ
ଛାତ୍ରୀମାନେ,t͡ʃʰɑtɾimɑne
ଯା,|yɑ
ଗୋଟାପଣେ,ɡoʈɑpɔɳe
ଭୁକେ,bʰʊke
ସୂର୍ଯ୍ୟା,suɾ|yjɑ
ଖାଇଛି,kʰɑit͡ʃʰi
ସଂଜୀବିତ,sɔMd͡ʒibitɔ
ଜଣାଇବା,d͡ʒɔɳɑibɑ
ମହାବୀର,mɔhɑbiɾɔ
ନିଯୁକ୍ତିପତ୍ର,ni|yʊktipɔtɾɔ
କୋଅପରେଟିଭ୍,koɔpɔɾeʈibʰ
ସୁଧର,sʊdʰɔɾɔ
ଶରତ,sɔɾɔtɔ
ଫଙ୍କଶନ,phɔŋksɔn
ନାନାପ୍ରକାର,nɑnɑpɾɔkɑɾɔ
ପ୍ଲେ,ple
ଏତେସବୁ,etesɔbʊ
ଦୁଇଧାର,dʊidʰɑɾɔ
ପିଲାଦିନରୁ,pilɑdinɔɾʊ
ଦେଇନାହଁ,deinɑhɔn~
କଷ୍ଟମର୍,kɔsʈɔmɔɾ
ବିଚାରବନ୍ତ,bit͡ʃɑɾɔbɔntɔ
ଶୁଣ,sʊɳɔ
ଟୀକା,ʈikɑ
ସହାୟକ,sɔhɑjɔkɔ
ନା,nɑ
ହିନ୍ଦୁସ୍ଥାନର,hindʊstʰɑnɔɾɔ
‘ଶେରଶାହାର,‘seɾsɑhɑɾɔ
ବାହାରିଯାଇ,bɑhɑɾi|yɑi
ଅଫିସର,ɔphisɔɾ
ଟ୍ରେନ୍‌ରେ,ʈɾen‌ɾe
ମଣିଭଦ୍ର,mɔɳibʰɔdɾɔ
ବେଡ,beɖ
ଭେରିଜନ୍,bʰeɾid͡ʒɔn
ପତଳା-,pɔtɔ`lɑ-
ନଆଁରେ,nɔɑn~ɾe
ତାପାଇଁ,tɑpɑin~
ବିଶ୍ୱକପ୍,bisʋɔkɔp
ବଜେଟ୍,bɔd͡ʒeʈ
ଝିଅଙ୍କର,d͡ʒʱiɔŋkɔɾɔ
ଆଇଡିକେ,ɑiɖike
ଜୀବଟାକୁ,d͡ʒibɔʈɑkʊ
ଉଦାହରଣ,ʊdɑhɔɾɔɳɔ
ଆକାର,ɑkɑɾɔ
ବିଶ୍ଵବିଦ୍ୟାଳର,bisʋɔbidjɑ`lɔɾɔ
ଦେଖିବି,dekʰibi
ରାଜନୀତିଆ,ɾɑd͡ʒɔnitiɑ
ଲାଗିଥି୍ଲା,lɑɡitʰilɑ
ଠକ,ʈʰɔkɔ
ଅଞ୍ଚଳବାସୀଙ୍କ,ɔɲt͡ʃɔ`lɔbɑsiŋkɔ
ପ୍ରକୃତରେ,pɾɔkɾʊtɔɾe
ଏନସିସି,ensisi
ଖୁବ୍‌ଶୀଘ୍ର,kʰʊb‌siɡʰɾɔ
ଯାଜପୁର,|yɑd͡ʒɔpʊɾɔ
ଯଶପ୍ରୀତ୍,|yɔspɾit
କାଶ୍ମୀର,kɑsmiɾ
ଦୋଷୀମାନଙ୍କୁ,dosimɑnɔŋkʊ
ହୋଇଯାଇଥିଲ,hoi|yɑitʰilɔ
ବର୍ତ୍ତମାନ,bɔɾttɔmɑnɔ
7ଟାରେ,7ʈɑɾe
ଟଙ୍କାସବୁ,ʈɔŋkɑsɔbʊ
ହେଇଯିବି,hei|yibi
ହାନି,hɑni
ପ୍ରାଥମିକ,pɾɑtʰɔmikɔ
ପାଇଁ,pɑin~
ବଦଳାଉଥିବାରୁ,bɔdɔ`lɑʊtʰibɑɾʊ
ଓସାର,osɑɾɔ
ବୁଝାଇଦେଇ,bʊd͡ʒʱɑidei
ରାୟପୁର,ɾɑjɔpʊɾɔ
ଏତେଟା,eteʈɑ
ବାଂଲାଦେଶ,bɑMlɑdes
ନୂଆପଡା,nuɑpɔɖɑ
ଆକାଇଣ୍ଟ୍,ɑkɑiɳʈ
ରାଗରେ,ɾɑɡɔɾe
ବଦଳିଲେ,bɔdɔ`lile
କାରର,kɑɾɾɔ
ବିରୋଧର,biɾodʰɔɾɔ
ୟୁନିୟନ,jʊnijɔn
ଫୀସର,phisɔɾ
ବୋଧିସତ୍ତ୍ଵଙ୍କ,bodʰisɔttʋɔŋkɔ
ଉପରମୁହାଁ,ʊpɔɾɔmʊhɑn~
ବିମାନବନ୍ଦରରୁ,bimɑnɔbɔndɔɾɔɾʊ
ଯାଜପୁର,|yɑd͡ʒɔpʊɾɔ
ଅପରେସନ୍,ɔpɔɾesɔn
ନ୍ୟୁଜିଲ୍ୟାଣ୍ଡ୍,njʊd͡ʒiljɑɳɖ
ଧିଶକ୍ତି,dʰisɔkti
ଓଏନ୍ଜିସି,oend͡ʒisi
ଘଟଣାସବୁ,ɡʰɔʈɔɳɑsɔbʊ
ରସ,ɾɔsɔ
ରୂପରେଖା,ɾupɔɾekʰɑ
ଅଟକା,ɔʈɔkɑ
ଇତିହାସର,itihɑsɔɾɔ
ହୋଇରହିବା,hoiɾɔhibɑ
ପିଲାଟି,pilɑʈi
ଆସିବ,ɑsibɔ
ଅଧିର,ɔdʰiɾɔ
ଅଗଷ୍ଟରେ,ɔɡɔsʈɔɾe
ସମାହାର,sɔmɑhɑɾɔ
କାମକରି,kɑmɔkɔɾi
ଚାରିଜଣ,t͡ʃɑɾid͡ʒɔɳɔ
ରୋଗ,ɾoɡɔ
ମିଠା,miʈʰɑ
୨୭୫,୨୭୫
ବଢାଇଲା,bɔɖʱɑilɑ
ବଦ୍ରିନାଥ,bɔdɾinɑtʰɔ
ବାନ୍ଦିପୁରା,bɑndipʊɾɑ
ପୋଡ଼ି,peɑɽi
ପରମ୍ପରାର,pɔɾɔmpɔɾɑɾɔ
ଯାଆନ୍ତୁ,|yɑɑntʊ
30ରେ,30ɾe
ଭେଣ୍ଟିଲେଟରରେ,bʰeɳʈileʈɔɾɾe
12,12
ଖସିଛନ୍ତି,kʰɔsit͡ʃʰɔnti
ଠକ,ʈʰɔkɔ
ଜମେଇ,d͡ʒɔmei
ଲଢ଼ିବ,lɔɽʱibɔ
ଗୁଡ଼ି,ɡʊɽi
ଦିଲ୍ଲୀରେ,dilliɾe
ଲାଗେନାହିଁ,lɑɡenɑhin~
ଅଧିବେଶନ,ɔdʰibesɔnɔ
ବିବ୍ରତ,bibɾɔtɔ
ଗ୍ରେଟା,ɡɾeʈɑ
ହାଲକୁ,hɑlɔkʊ
୬୭୧୪,୬୭୧୪
ବିଶାଲ,bisɑl
ଜିଟିକେ,d͡ʒiʈike
ହାଇକୋର୍ଟଙ୍କ,hɑikoɾʈɔŋkɔ
ଉଠିପାରିଛି,ʊʈʰipɑɾit͡ʃʰi
ସେଟ୍ଟୀଙ୍ଗ,seʈʈiŋɡ
ପ୍ରଶଂସନୀୟ,pɾɔsɔMsɔnijɔ
ଏସ2,es2
ଚାମଚ,t͡ʃɑmɔt͡ʃɔ
ଆଇଗୋ,ɑiɡo
ସତର୍କତାମୂଳକ,sɔtɔɾkɔtɑmu`lɔkɔ
ଶ୍ୱଶୁର,sʋɔsʊɾɔ
ପରିଶ୍ରମରେ,pɔɾisɾɔmɔɾe
ବ୍ରହ୍ମପୁତ୍ର,bɾɔhmɔpʊtɾɔ
ଜିତିଥିଲା,d͡ʒititʰilɑ
ଅଙ୍ଗାରକାମ୍ଳ,ɔŋɡɑɾɔkɑm`lɔ
ପୁମପୁହାର,pʊmɔpʊhɑɾɔ
ମନଦୁଃଖରେ,mɔnɔdʊhkʰɔɾe
ସାପମାନେ,sɑpɔmɑne
ସ୍ଥିତ,stʰitɔ
ପ୍ରଲୋଭିତ,pɾɔlobʰitɔ
ଧୋଇ,dʰoi
ସଙ୍କରାଚାର୍ଯ୍ୟ,sɔŋkɔɾɑt͡ʃɑɾ|yjɔ
ଭାରତ-,bʰɑɾɔtɔ-
କ୍ର୍ୟୁ,kɾjʊ
ଅସ୍ଥାୟୀ,ɔstʰɑji
ଭାବନାଙ୍କୁ,bʰɑbɔnɑŋkʊ
ମିଳିଛି,mi`lit͡ʃʰi
କାଟିଦେବ,kɑʈidebɔ
ତଥ୍ୟ,tɔtʰjɔ
38,38
ଅଂଚଳ,ɔMt͡ʃɔ`lɔ
କଥା,kɔtʰɑ
ଆପଣାମାନେ,ɑpɔɳɑmɑne
ସେବାରେ,sebɑɾe
ସୁଲତାନ୍,sʊltɑn
ଉନ୍ନୟନ,ʊnnɔjɔnɔ
ଆସନ୍ତାକାଲି,ɑsɔntɑkɑli
ସ୍ୱର୍ଗତା,sʋɔɾɡɔtɑ
ଆଇପଡ୍କୁ,ɑipɔɖkʊ
ଉପସ୍ଥିତ,ʊpɔstʰitɔ
ପ୍ରଜାପାଳକ,pɾɔd͡ʒɑpɑ`lɔkɔ
ଲୋକ,lokɔ
କରିଚାଲିଛନ୍ତି,kɔɾit͡ʃɑlit͡ʃʰɔnti
ଏମ,em
ଆଇଏସ୍ଏ,ɑiese
ଚାଲିଛି,t͡ʃɑlit͡ʃʰi
ଦିନପରେ,dinɔpɔɾe
ନେଇଛି,neit͡ʃʰi
ବରଣକରିଥିଲେ,bɔɾɔɳɔkɔɾitʰile
ଭାବନା,bʰɑbɔnɑ
ଶ୍ମଶାନ,smɔsɑnɔ
ନୀଳମଣି,ni`lɔmɔɳi
ରୋଚକ,ɾot͡ʃɔkɔ
ଜିଦରେ,d͡ʒidɾe
ଗାନ,ɡɑnɔ
ବ୍ୟାପିବ,bjɑpibɔ
ବନବିଭାଗର,bɔnɔbibʰɑɡɔɾɔ
ଅନିଯାୟୀ,ɔni|yɑji
2006ରେ,2006ɾe
ବିଭା,bibʰɑ
ଦେଇଥିଲେ,deitʰile
ପୁଲିସରେ,pʊlisɾe
ହୋଇଥିଲା,heɑitʰilɑ
ସିଙ୍ଗୁଲାର୍,siŋɡʊlɑɾ
କରିବାକୁ,kɔɾibɑkʊ
ପ୍ରବେଶ,pɾɔbesɔ
ସେତିକି,setiki
ସମାନ୍ୟ,sɔmɑnjɔ
କେଉଁଟା,keʊn~ʈɑ
TG7641,TG7641
ସ୍ଥଳରେ,stʰɔ`lɔɾe
ସରକାରଙ୍କର,sɔɾɔkɑɾɔŋkɔɾɔ
ସଙ୍କେତ,sɔŋketɔ
ଫ୍ଲାଇଟ୍,phlɑiʈ
ହୋଇପାରିନାହିଁ,hoipɑɾinɑhin~
ଇସ୍ରାଏଲ୍‌ର,isɾɑel‌ɾɔ
ସର୍ବଶେଷ,sɔɾbɔsesɔ
ଦରକାର,dɔɾɔkɑɾɔ
ପଟାନୀ,pɔʈɑni
ମ୍ୟାଚରୁ,mjɑt͡ʃɾʊ
ଫାଇନ୍‌,phɑin‌
iphone,iphone
ତରତରରେ,tɔɾɔtɔɾɔɾe
କାର୍ଯ୍ୟକ୍ରମମାନ,kɑɾ|yjɔkɾɔmɔmɑnɔ
ଥ୍ୟାଙ୍କ୍ସ,tʰjɑŋks
ଠଉରାଇ,ʈʰɔʊɾɑi
ରପ୍ତାନୀକୁ,ɾɔptɑnikʊ
ସମ୍ବନ୍ଧକୁ,sɔmbɔndʰɔkʊ
ମାଆକୁ,mɑɑkʊ
350,350
ହେଲୁ,helʊ
ପରିବେଶକୁ,pɔɾibesɔkʊ
ପୁଷ୍ଟି,pʊsʈi
କମ,kɔm
ଆରୟନ,ɑɾɔjɔnɔ
ବିଲୁଆଟି,bilʊɑʈi
ଶଗଡ଼ର,sɔɡɔɽɔɾɔ
କରିହେଉନାହିଁ,kɔɾiheʊnɑhin~
ମୁଲଚାଲ,mʊlɔt͡ʃɑlɔ
ଦିବସ,dibɔsɔ
ବାଟସାରା,bɑʈɔsɑɾɑ
ପ୍ରିୟା,pɾijɑ
ସେଟ୍ଟୀ,seʈʈi
ଏକଓଳି,ekɔo`li
ଶୋଭାଯାତ୍ରାରେ,sobʰɑ|yɑtɾɑɾe
250,250
ଶାସନକାଳରେ,sɑsɔnɔkɑ`lɔɾe
ପରିମଳ,pɔɾimɔ`lɔ
ଆବଶ୍ୟକତାରେ,ɑbɔsjɔkɔtɑɾe
ରାବଣ,ɾɑbɔɳɔ
ଉର୍ବର,ʊɾbɔɾɔ
ଦାଂପତ୍ୟ,dɑMpɔtjɔ
ଗଣତନ୍ତ୍ରଙ୍କୁ,ɡɔɳɔtɔntɾɔŋkʊ
ପତାକା,pɔtɑkɑ
କଥାବାର୍ତ୍ତାବେଳେ,kɔtʰɑbɑɾttɑbe`le
ଝରିଲା,d͡ʒʱɔɾilɑ
ଚିନ୍ତା,t͡ʃintɑ
ସର୍ବେସର୍ବା,sɔɾbesɔɾbɑ
ଧୱନ,dʰɔʋɔn
CS60,CS60
ବଲ୍,bɔl
ଚିକିତ୍ସକ,t͡ʃikitsɔkɔ
ଭିକ୍ଷୁ,bʰikʰjʊ
କାହାଣୀର,kɑhɑɳiɾɔ
ଡ଼େଭିସ,ɽebʰis
ଗୋଏଲ୍‌,ɡoel‌
କୋଭିଡ୍,kobʰiɖ
59,59
ଯୋଗ୍ୟତାଭିତ୍ତିରେ,|yoɡjɔtɑbʰittiɾe
ମାଳଦୀପ,mɑ`lɔdipɔ
ଇଚ୍ଛାକଲା,it͡ʃt͡ʃʰɑkɔlɑ
କଡେଇ,kɔɖei
ରାଜ୍ଯକୁ,ɾɑd͡ʒ|yɔkʊ
ଧାରେ,dʰɑɾe
କାହୁଁ,kɑhʊn~
ବୋଇତା,boitɑ
ପ୍ରତୀକ୍ଷା,pɾɔtikʰjɑ
କରୁଥିବି,kɔɾʊtʰibi
ନାତୁଣୀଙ୍କୁ,nɑtʊɳiŋkʊ
କହିଲା,kɔhilɑ
ୟୁଟ୍ୟୁବ୍‌ରେ,jʊʈjʊb‌ɾe
ଡିଟେଲ,ɖiʈel
ୟୁନିଟକୁ,jʊniʈɔkʊ
ଆୟୋଜନ,ɑjod͡ʒɔnɔ
ଫୁଟ,phʊʈ
ଟ୍ରାକ୍ଟରକୁ,ʈɾɑkʈɔɾɔkʊ
ମିଶିବାକୁ,misibɑkʊ
ଆଖିବୁଜି,ɑkʰibʊd͡ʒi
ଆଡ଼ୁ,ɑɽʊ
ଉପସ୍ଥାପିତ,ʊpɔstʰɑpitɔ
